EntityName,Country,CompanyNumber,DateofInc,PreviousNames,PlaceofInc,RegisteredAddress,Directors,Officers,IssuedCapital,Shareholders,PrincipalActivity,Active
Sims Limited,Australia,69 114 838 630,6/20/2005,"Sims Metal Management Limited, Sims Co Limited, Sims Group Limited",Victoria,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2020","Geoffrey Brunsdon, Alistair Field, Hiroyuki Kato, Georgia Nelson, Victoria Binns, Thomas Gorman, Deborah O’Toole, Heather Ridout","Gretchen Johanns, Angela Catt","204,269,939",Various,Listed Holding Company,Yes
Sims Aluminium Pty Limited,Australia,93 004 370 905,1/11/1957,"Residue Refineries Limited, Residue Refineries Pty Limited, Affinity Metals Pty Limited",Victoria,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2021","Todd Craig Scott, Rodney John Bonnette",Susan Fairbairn,"5,221,069 ordinary shares",Sims Group Australia Holdings Limited,Nil,Yes
Simsmetal Properties QLD Pty Limited,Australia,42 009 667 752,6/19/1950,"Abrahams and Williams Pty Limited, Simsmetal (Qld.) Pty Limited, Sims Energy Pty Limited",Queensland,"Suite 2, Level 9, 189 O’Riordan Street Mascot NSW 2022","Todd Craig Scott, Rodney John Bonnette",Susan Fairbairn,"25,000 ordinary shares",Simsmetal Holdings Pty Limited,Investment and property owner,Yes
Sims E-Recycling Pty Limited,Australia,74 114 176 493,5/9/2005,N/A,New South Wales,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2023","Stephen John Michelsen, Ingrid Sinclair, Angela Catt, Daniel Gerard Conlon",Susan Fairbairn,"450,000 A class shares, 50,000 B class shares","Sims Group Australia Holdings Limited - 450,000 A class shares; Veolia Environmental Services (Australia) Pty Limited - 50,000 B class shares",E-Waste Recycling,Yes
Sims Group Australia Holdings Limited,Australia,37 008 634 526,1/28/1988,"Kinchella Pty Limited, Kinchella Limited, Simsmetal Limited, Sims Group Limited",Australian Capital Territory,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2024","Todd Craig Scott, Rodney John Bonnette",Susan Fairbairn,"91,467,048 ordinary shares",Sims Limited,Australian Holding Company,Yes
Sims Group Holdings 1 Pty Ltd,Australia,93 131 170 735,5/20/2008,N/A,Victoria,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2025",Todd Craig Scott,Susan Fairbairn,"2,105,036,857 ordinary shares",Sims Limited,Investment,Yes
Sims Group Holdings 2 Pty Ltd,Australia,14 131 170 780,5/20/2008,N/A,Victoria,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2026",Todd Craig Scott,Susan Fairbairn,"2,107,154 ordinary shares",Sims Limited,Investment,Yes
Sims Industrial Pty Limited,Australia,95 000 090 479,11/9/1950,"Consolidated Metal Products Limited, Consolidated Metal Products Pty Limited, Sims Products Holdings Pty Limited",New South Wales,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2027","Todd Craig Scott, Rodney John Bonnette",Susan Fairbairn,"2,847,156 ordinary shares",Simsmetal Holdings Pty Limited,Investment and property owner,Yes
Simsmetal Properties NSW Pty Limited,Australia,13 004 332 870,3/18/1955,"Heine-Grant Industries Limited, Heine-Grant Industries Pty Limited, J Grant Metals Pty Limited, H. & D. Metals Pty Limited, Sims Manufacturing Pty Limited",Victoria,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2028","Todd Craig Scott, Rodney John Bonnette",Susan Fairbairn,"29,451 ordinary shares","Simsmetal Holdings Pty Limited - 1 ordinary share, Simsmetal Services Pty Limited - 29,450 ordinary shares","Owns Christie St, St. Marys, NSW",Yes
Sims Group Holdings 3 Pty Limited,Australia,95 069 238 937,5/2/1995,Simsmetal Executive Staff Superannuation Pty Limited,New South Wales,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2029","Todd Craig Scott, Rodney John Bonnette",Susan Fairbairn,2 ordinary shares,Sims Limited,Holding Company,Yes
Simsmetal Holdings Pty Limited,Australia,97 000 021 563,8/8/1928,"Albert G Sims Limited, Albert G Sims Pty Limited, Simsmetal Limited, Sims Consolidated Limited",New South Wales,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2030","Todd Craig Scott, Rodney John Bonnette",Susan Fairbairn,"50,361,238 ordinary shares",Sims Group Australia Holdings Limited,Property Owner,Yes
Simsmetal Services Pty Limited,Australia,76 000 166 987,12/14/1955,"L.M. Edwards Pty Limited, Simsmetal (Aust.) Pty Limited, Simsmetal Pty Limited, Simsmetal Limited",New South Wales,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2031","Todd Craig Scott, Rodney John Bonnette",Susan Fairbairn,"92,284 ordinary shares",Simsmetal Holdings Pty Limited,Investment and property owner; Employer of GHO employees,Yes
Sims Resource Renewal Pty Limited ,Australia,14 000 554 656,11/2/1966,Universal Inspection and Testing Company Pty Limited,New South Wales,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2032","Gretchen Johanns, Trevor Stolz","Gretchen Johanns, Susan Fairbairn",2 ordinary shares,Simsmetal Holdings Pty Limited,Resource renewal,Yes
Electronic Product Stewardship Australasia Pty Limited,Australia,62 156 409 488,3/21/2012,N/A,Victoria,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2033","Stephen John Michelsen, Ingrid Sinclair, Angela Catt",Susan Fairbairn,"1,000 shares",Sims E-Recycling Pty Limited,Dormant,No
Sims Energy Pty Ltd,Australia,60 639 446 969,2/28/2020,N/A,New South Wales,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2034","Stuart Glenn, Stephen Mikkelsen, John Falzon, Stephen Skurnac, Gretchen Johanns",Gretchen Johanns,100 ordinary shares,LMS Energy Pty Ltd - 10 ordinary shares; Sims Limited - 90 ordinary shares,Electricity production,Yes
Simstar Alloys Pty Ltd,Australia,155 327 503,2/8/2012,N/A,Victoria,"19 Little Boundary Road, Laverton North VIC 3028","Scott, Todd Craig; Rittner, Frank; Beerworth, Adrian Charles; Moratti, Francis Martin","Moratti, Francis Martin","1 A ordinary share, 1 B ordinary share",Nyrstar Port Pirie Pty Ltd - 1 B ordinary share; Sims Group Australia Holdings Limited - 1A ordinary share,Dissolved Nov. 2020,No
Navitus Pty Ltd,Australia,119 331 118,4/26/2006,"Carbon Credit Generation Pty Ltd, Gas Energy Power Pty Ltd, Renewable Electricity Pty Ltd",South Australia,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2034",John Falzon,"John Falzon, Gretchen Johanns","50,000 ordinary shares",LMS Energy Pty Ltd,Carbon credit trader,Yes
LMS Swanbank Pty Ltd,Australia,090 914 640,12/14/1999,LMS Energy Pty Ltd,South Australia,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2035",John Falzon,"John Falzon, Francis Martin Moratti",2 ordinary shares,LMS Energy Pty Ltd,Landfill gas management,Yes
LMS Energy Pty Ltd,Australia,39 059 428 474,3/24/1993,"Falzon Energy Pty Ltd, Landfill Management Services Pty Ltd, LMS generation Pty Ltd",South Australia,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2036","John Falzon, Stuart Glenn, Amit Patel, Francis Moratti","Gretchen Johanns, Suzanne Dickey","750 ""A"" class shares and 750 ""B"" class shares","J&D Falzon Nominees Pty Ltd - 749 ""A"" class shares; John Joseph Falzon - 1 ""A"" class share; Sims Group Australia Holdings Limited - 750 ""B"" class shares",Landfill gas management,Yes
Joule Energy Pty Ltd,Australia,053 307 761,8/23/1991,"New Hope Energy Pty Ltd, New Hope Minerals Pty Ltd, Leniberg Pty Ltd, Swanbank Gas Pty Ltd, RE Energy Pty Ltd, LMS Renewables Pty Ltd",Queensland,"Suite 2, Level 9, 189 O'Riordan Street Mascot NSW 2037","John Falzon, Gretchen Johanns",Gretchen Johanns,2 ordinary shares,LMS Energy Pty Ltd,Joint Venturer - Swanback Queensland site,Yes
Simsmetal Industries Limited,New Zealand,WN/003597,5/4/1938,Doring Industries Limited,Wellington,"3 Manu Street, Otahuhu, Otahuhu, 2024 , New Zealand","Todd Craig Scott, Rodney John Bonnette, Joseph Gibson",,"28,000 shares of $2 each fully paid","Sims Industrial Pty Limited - 27,999 shares; Simsmetal Services Pty Limited - 1 share",Secondary metal recycling,Yes
Sims E- Recycling (NZ) Limited,New Zealand,2186621,12/13/2008,N/A,New Zealand,"69 Aintree Avenue, Mangere, Auckland, New Zealand","Stephen Mikkelsen, Ingrid Sinclair, Angela Catt",,"1,000 shares",Sims E-Recycling Pty Limited,D292213 E-waste collection and material recovery,Yes
Sims Pacific Metals Limited,New Zealand,AK/557908,8/21/1992,Mankato Investments Limited,Auckland,"3 Manu Street, Otahuhu, 2024 , New Zealand","Todd Craig Scott, Rodney John Bonnette, Joseph Gibson",,"50 Group ""A"" shares of $1 each fully paid; 50 Group ""B"" shares of $1 each fully paid","Simsmetal Industries Limited - 50 Group ""A"" shares and 50 Group “B” shares",Metal Recycling,Yes
Sims Metal Management Asia Limited,China/Hong Kong,30512,11/17/1972,"Cableton Limited, Sims Asia Holdings Limited",Hong Kong,"Rooms 1709-11, ACE Tower, Windsor House, 311 Gloucester Road, Causeway Bay, Hong Kong","Alistair Field, Graeme Murray Cameron ",Fair Wind Secretarial Services Ltd,"1,102,280,000 ordinary shares of HK$1 each fully paid",Sims Limited,Dormant,No
Sims Metal Management China Holdings Limited,China/Hong Kong,1587052,04/13/82011,N/A,Hong Kong,"Rooms 1709-11, ACE Tower, Windsor House, 311 Gloucester Road, Causeway Bay, Hong Kong","Alistair Field, Graeme Murray Cameron ",Fair Wind Secretarial Services Ltd,"1,102,200,000 ordinary shares of HK$1 each",Sims Metal Management Asia Limited,Dissolved Feb. 2020,No
Trishyiraya Recycling India Private Limited,India,CIN: U37100TN2000PTC046023; Reg. No.: 046023,11/3/2000,N/A,"Chennai, India","28/21, Vengeeswarar Nagar 1st Main Road Vadapalani Chennai TN 600026 IN","Subash Warrier, Ravi Ramanujam",,"2,500,000Rs: comprising 250,000 shares of 10Rs/each","Sims Recycling Solutions Pte Ltd. 249,750 shares; Sims Group Australia Holdings Ltd 250 shares",E-Waste Recycling,Yes
Sims Recycling Solutions India Private Limited,India,CIN: U74900DL200PTC163146; Reg. No. 163146,5/9/2007,N/A,"Delhi, India","No.1005, Roots Tower, Plot No. 7, Laxmi Nagar, District Centre, Delhi East Delhi DL 110092 IN","Subash Warrier, Ravi Ramanujam",,"2,490,000Rs","Sims Recycling Solutions Pte. Ltd. 2,489,990 shares; Sims Group Australia Holdings Ltd 10 shares",E-Waste Recycling,Yes
Sims Recycling Solutions Pte. Ltd.,Singapore,200802782E,11/2/2008,N/A,Singapore,"80 Robinson Road, #02-00, Singapore (068898)","Graeme Cameron, San San Chua","Koon, Ang Siew","5,801,449 shares of S$1 each fully paid",Sims Group Australia Holdings Limited,E-Waste Recycling,Yes
Sims Global Commodities Pte. Ltd.,Singapore,201807276K,1/3/2018,N/A,Singapore,"81 Robinson Road, #02-00, Singapore (068898)","Graeme Cameron, San San Chua","Koon, Ang Siew","3,047,400 shares of S$1 each fully paid",Sims Limited,"Wholesale of metals and metal ores except general hardware. Description: The marketing, trading and price risk management of non-ferrous metals.",Yes
PNG Recycling Limited,Papua New Guinea,1-16617,2/19/1991,"PNG Recycling Pty Limited, Amb-Kundi Pty Limited
",Papua New Guinea,"C/- Ashurst, Level 11, Mrdc Haus, Cnr of Musgrave Street and Champion Parade,  Port Moresby, National Capital District
","Todd Craig Scott, Rodney John Bonnette, Ian Raymond Shepherd",,4 shares of K1 each fully paid,Sims Group Australia Holdings Limited,Metal Recycling,Yes
Gaukara Company No. 2 Limited,Papua New Guinea,1-19921,2/10/1992,Gaukara Company No.2 Pty. Limited,Papua New Guinea,"Section 86 Allotment 10, Jawani Street, Lae, Morobe Province
","Todd Craig Scott, Rodney John Bonnette, Ian Raymond Shepherd",,100 ordinary shares,PNG Recycling Limited,Dormant,No
All Metal Recovery Limited,United Kingdom,2443460,11/16/1989,Widemoor Limited,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ",David Williams,David Williams,"1,000 ordinary shares of £1.00 each",Sims Group UK Limited,Dissolved Feb. 2017,No
Sims Metal Management UK Limited,United Kingdom,648861,2/8/1960,"Sims Metal Management Limited, Cheque Swap Limited, Brook Street Metal Co. Limited
",England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ",David Williams,David Williams,700 ordinary shares of £1.00 each,Sims Group UK Limited,Dissolved Oct. 2021,No
Cooper Metal Recycling Ltd,United Kingdom,2626071,7/3/1991,Cooper-Mormet Limited,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ",David Williams,David Williams,500 ordinary shares of £1.00 each,Sims Group UK Limited,Dissolved Oct. 2021,No
Deane Wood Export Limited,United Kingdom,3816856,7/30/1999,N/A,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ",David Williams,David Williams,2 ordinary shares of £1.00 each,Sims Group UK Limited,Dissolved Oct. 2021,No
Dunn Brothers (1995) Limited,United Kingdom,3059919,5/23/1995,Speedyfuel Limited,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ",David Williams,David Williams,1 ordinary share of £1.00,Sims Group UK Limited,Dissolved Oct. 2021,No
Sims Recycling Solutions Limited,United Kingdom,SC251765,6/25/2003,S3 Interactive Limited,Scotland,"Irongray Business Park, Lochside Industrial Estate, Dumfries, Scotland DG2 0NR",David Williams,David Williams,2 ordinary share of £1.00,Sims Group UK Limited,Dissolved Oct. 2021,No
Sims Group UK Holdings Limited,United Kingdom,2904307,3/3/1994,"Talksafe Company Limited, Simsmetal UK Limited, Simsmetal UK Holdings Limited",England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ","Richard Brierley, Mark Saunders",Richard Brierley,"322,067,240 ordinary shares of £1 each fully paid",Sims Limited,Holding Company,Yes
Sims Group UK Intermediate Holdings Limited,United Kingdom,3021601,2/14/1995,"Foxtonmill Limited, Sims Bird Limited, Simsmetal UK Limited, Simsmetal UK Group Limited
",England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ","Richard Brierley, Mark Saunders",Richard Brierley,"1,000 ordinary shares of £1.00 each",Sims Group UK Holdings Limited,Dormant,No
Sims Group UK Limited,United Kingdom,3242331,8/27/1996,"Scohold Limited, Philip Environmental (Europe) Limited, Philip Services (Europe) Limited, Simsmetal UK (Services) Limited, Simsmetal UK Limited
",England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ","Stephen Skurnac, Paul Wright, Mark Saunders",Richard Brierley,"50,000,000",Sims Group UK Holdings Limited,"Processing, recycling and distributions of metal",Yes
Sims Group UK Pension Trustees Limited,United Kingdom,3087439,8/4/1995,"Butlergrove Limited, Sims Bird Superannuation Limited, Simsmetal UK Superannuation Limited, Simsmetal Pension Trustees Limited, Simsmetal UK Pension Trustees Limited
",England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ","Stuart Lee Wilcox, Jane Louis Fenwick, Richard Paul Brierley, Giriaj Deshpande",Richard Brierley,1 ordinary share of £1.00,Sims Group UK Limited,Corporate Pension Trustee (of Sims Group UK Combined Pension Scheme),Yes
United Castings Limited,United Kingdom,2550422,10/19/1990,"Linemesh Limited, Muand (U.K.) Limited",England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ",David Williams,David Williams,100 ordinary shares of £1.00 each,Sims Group UK Limited,Dissolved Oct. 2021,No
Sims Foundry Limited,United Kingdom,7732913,8/8/2011,Sims FE Mottram Limited,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ",Stephen Skurnac,,1 ordinary share of £1.00,SMM - North America Trade Corporation,Ferro-titanium producer,Yes
Sims Metal Management Finance Limited,United Kingdom,10791653,5/26/2017,N/A,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ",Brent Stewart,,"750,100 ordinary shares of £1.00 each",Sims Group UK Holdings Limited,Ancillary financial activities,Yes
Sims Energy Limited,United Kingdom,10882998,7/25/2017,N/A,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ","John Falzon, Stephen Mikkelsen, Alistair Field, Stephen Skurnac",Josef Malik,100 ordinary shares of £1.00 each,Sims Group UK Holdings Limited (90%) and LMS Energy Pty Ltd (10%),Dissolved May 2021,No
Sims Renewable Energy Limited,United Kingdom,10882974,7/25/2017,N/A,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ",Stephen Skurnac,,1 ordinary share of £1.00,Sims Group UK Holdings Limited,Electricity Production,Yes
Kaystan Holdings Limited,United Kingdom,10535147,12/21/2016,N/A,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ","Mark Saunders, Paul Wright",Richard Brierley,7999 ordinary shares of £1.00 each,Sims Group UK Limited,Activities of other holding companies not elsewhere classified. Buying and selling of own real estate. Other letting and operating of own or leased real estate.,Yes
Lord & Midgley Limited,United Kingdom,586189,6/25/1957,F. Lord Limited,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ","Mark Saunders, Paul Wright",Richard Brierley,,Kaystan Holdings Limited,Dormant,No
Morley Waste Traders Limited,United Kingdom,644354,12/14/1959,N/A,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ","Mark Saunders, Paul Wright",Richard Brierley,,Kaystan Holdings Limited,Dormant,No
Sims Metal Limited,United Kingdom,13508832,7/13/2021,N/A,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ",Richard Brierley,Richard Brierley,1 ordinary share of £1.00,Sims Group UK Limited,Dormant,No
Sims Lifecycle Services Limited,United Kingdom,13508835,7/13/2021,N/A,England and Wales,"Long Marston, Stratford-upon-Avon, Warwickshire C37 8AQ",Richard Brierley,Richard Brierley,1 ordinary share of £1.00,Sims Group UK Limited,Dormant,No
